name,n_features,n_samples,mae,rmse,pearson_r
Circadian only,11,4631,11.67656731365396,14.445474627667343,0.5862696301743793
Sleep only,6,4631,12.943745315332206,15.819701822034792,0.45637605498186695
Activity only,6,4631,14.003549756935174,16.81939973059647,0.34397457253095465
Metabolism only (HbA1c),7,4246,10.907757658786265,13.34408972988855,0.6476927506609552
Inflammation only (NLR+WBC),6,4436,14.858295967629006,17.785054351171574,0.19776337612417308
All wearable (no CosinorAge),19,4631,11.550062846451354,14.1411605798122,0.6044377801927638
All labs,11,4234,10.095475307800484,12.640938394015512,0.6923883680943873
Full (no CosinorAge),28,4234,9.010791487663797,11.2886655303809,0.7645782301867976
Full + CosinorAge [leakage],29,4234,0.3340737414809893,0.5073337372546735,0.999580904054426
